table_schema,table_name,columns
auth,one_time_tokens,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""user_id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""token_type"",""data_type"":""USER-DEFINED"",""is_nullable"":""NO"",""default"":null},{""column_name"":""token_hash"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""relates_to"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp without time zone"",""is_nullable"":""NO"",""default"":""now()""},{""column_name"":""updated_at"",""data_type"":""timestamp without time zone"",""is_nullable"":""NO"",""default"":""now()""}]"
auth,refresh_tokens,"[{""column_name"":""instance_id"",""data_type"":""uuid"",""is_nullable"":""YES"",""default"":null},{""column_name"":""id"",""data_type"":""bigint"",""is_nullable"":""NO"",""default"":""nextval('auth.refresh_tokens_id_seq'::regclass)""},{""column_name"":""token"",""data_type"":""character varying"",""is_nullable"":""YES"",""default"":null},{""column_name"":""user_id"",""data_type"":""character varying"",""is_nullable"":""YES"",""default"":null},{""column_name"":""revoked"",""data_type"":""boolean"",""is_nullable"":""YES"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""updated_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""parent"",""data_type"":""character varying"",""is_nullable"":""YES"",""default"":null},{""column_name"":""session_id"",""data_type"":""uuid"",""is_nullable"":""YES"",""default"":null}]"
auth,saml_providers,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""sso_provider_id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""entity_id"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""metadata_xml"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""metadata_url"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""attribute_mapping"",""data_type"":""jsonb"",""is_nullable"":""YES"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""updated_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""name_id_format"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null}]"
auth,saml_relay_states,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""sso_provider_id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""request_id"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""for_email"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""redirect_to"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""updated_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""flow_state_id"",""data_type"":""uuid"",""is_nullable"":""YES"",""default"":null}]"
auth,schema_migrations,"[{""column_name"":""version"",""data_type"":""character varying"",""is_nullable"":""NO"",""default"":null}]"
auth,sessions,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""user_id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""updated_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""factor_id"",""data_type"":""uuid"",""is_nullable"":""YES"",""default"":null},{""column_name"":""aal"",""data_type"":""USER-DEFINED"",""is_nullable"":""YES"",""default"":null},{""column_name"":""not_after"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""refreshed_at"",""data_type"":""timestamp without time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""user_agent"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""ip"",""data_type"":""inet"",""is_nullable"":""YES"",""default"":null},{""column_name"":""tag"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""oauth_client_id"",""data_type"":""uuid"",""is_nullable"":""YES"",""default"":null},{""column_name"":""refresh_token_hmac_key"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""refresh_token_counter"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null}]"
auth,sso_domains,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""sso_provider_id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""domain"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""updated_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null}]"
auth,sso_providers,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""resource_id"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""updated_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""disabled"",""data_type"":""boolean"",""is_nullable"":""YES"",""default"":null}]"
auth,users,"[{""column_name"":""instance_id"",""data_type"":""uuid"",""is_nullable"":""YES"",""default"":null},{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""aud"",""data_type"":""character varying"",""is_nullable"":""YES"",""default"":null},{""column_name"":""role"",""data_type"":""character varying"",""is_nullable"":""YES"",""default"":null},{""column_name"":""email"",""data_type"":""character varying"",""is_nullable"":""YES"",""default"":null},{""column_name"":""encrypted_password"",""data_type"":""character varying"",""is_nullable"":""YES"",""default"":null},{""column_name"":""email_confirmed_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""invited_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""confirmation_token"",""data_type"":""character varying"",""is_nullable"":""YES"",""default"":null},{""column_name"":""confirmation_sent_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""recovery_token"",""data_type"":""character varying"",""is_nullable"":""YES"",""default"":null},{""column_name"":""recovery_sent_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""email_change_token_new"",""data_type"":""character varying"",""is_nullable"":""YES"",""default"":null},{""column_name"":""email_change"",""data_type"":""character varying"",""is_nullable"":""YES"",""default"":null},{""column_name"":""email_change_sent_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""last_sign_in_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""raw_app_meta_data"",""data_type"":""jsonb"",""is_nullable"":""YES"",""default"":null},{""column_name"":""raw_user_meta_data"",""data_type"":""jsonb"",""is_nullable"":""YES"",""default"":null},{""column_name"":""is_super_admin"",""data_type"":""boolean"",""is_nullable"":""YES"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""updated_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""phone"",""data_type"":""text"",""is_nullable"":""YES"",""default"":""NULL::character varying""},{""column_name"":""phone_confirmed_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""phone_change"",""data_type"":""text"",""is_nullable"":""YES"",""default"":""''::character varying""},{""column_name"":""phone_change_token"",""data_type"":""character varying"",""is_nullable"":""YES"",""default"":""''::character varying""},{""column_name"":""phone_change_sent_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""confirmed_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""email_change_token_current"",""data_type"":""character varying"",""is_nullable"":""YES"",""default"":""''::character varying""},{""column_name"":""email_change_confirm_status"",""data_type"":""smallint"",""is_nullable"":""YES"",""default"":""0""},{""column_name"":""banned_until"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""reauthentication_token"",""data_type"":""character varying"",""is_nullable"":""YES"",""default"":""''::character varying""},{""column_name"":""reauthentication_sent_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""is_sso_user"",""data_type"":""boolean"",""is_nullable"":""NO"",""default"":""false""},{""column_name"":""deleted_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""is_anonymous"",""data_type"":""boolean"",""is_nullable"":""NO"",""default"":""false""}]"
extensions,pg_stat_statements,"[{""column_name"":""userid"",""data_type"":""oid"",""is_nullable"":""YES"",""default"":null},{""column_name"":""dbid"",""data_type"":""oid"",""is_nullable"":""YES"",""default"":null},{""column_name"":""toplevel"",""data_type"":""boolean"",""is_nullable"":""YES"",""default"":null},{""column_name"":""queryid"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""query"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""plans"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""total_plan_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""min_plan_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""max_plan_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""mean_plan_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""stddev_plan_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""calls"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""total_exec_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""min_exec_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""max_exec_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""mean_exec_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""stddev_exec_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""rows"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""shared_blks_hit"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""shared_blks_read"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""shared_blks_dirtied"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""shared_blks_written"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""local_blks_hit"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""local_blks_read"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""local_blks_dirtied"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""local_blks_written"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""temp_blks_read"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""temp_blks_written"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""shared_blk_read_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""shared_blk_write_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""local_blk_read_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""local_blk_write_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""temp_blk_read_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""temp_blk_write_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""wal_records"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""wal_fpi"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""wal_bytes"",""data_type"":""numeric"",""is_nullable"":""YES"",""default"":null},{""column_name"":""jit_functions"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""jit_generation_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""jit_inlining_count"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""jit_inlining_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""jit_optimization_count"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""jit_optimization_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""jit_emission_count"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""jit_emission_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""jit_deform_count"",""data_type"":""bigint"",""is_nullable"":""YES"",""default"":null},{""column_name"":""jit_deform_time"",""data_type"":""double precision"",""is_nullable"":""YES"",""default"":null},{""column_name"":""stats_since"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""minmax_stats_since"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null}]"
